beta,rho,time_seconds
0.000000,0.000000,0.013401
0.010000,0.000000,0.019315
0.020000,0.000000,0.030101
0.030000,0.000000,0.059032
0.040000,0.000168,0.515545
0.050000,0.086111,3.380656
0.060000,0.137392,4.231995
0.070000,0.184063,4.839094
0.080000,0.228107,5.483734
0.090000,0.268784,5.980319
0.100000,0.304040,6.340141
0.110000,0.336885,6.650875
0.120000,0.365028,6.776417
0.130000,0.391254,6.853737
0.140000,0.414767,7.074585
0.150000,0.435291,7.147959
0.160000,0.454930,7.230234
0.170000,0.472191,7.294155
0.180000,0.488321,7.362031
0.190000,0.502672,7.470622
0.200000,0.515879,7.478471
0.210000,0.528134,7.509911
0.220000,0.539024,7.527316
0.230000,0.549417,7.558328
0.240000,0.559581,7.540795
0.250000,0.568191,7.558346
0.260000,0.576238,7.561165
0.270000,0.583881,7.491030
0.280000,0.591075,7.479012
0.290000,0.597830,7.430213
0.300000,0.604178,7.406954
