beta,rho,time_seconds
0.000000,0.000000,0.026463
0.010000,0.000000,0.024717
0.020000,0.000000,0.031658
0.030000,0.000000,0.045034
0.040000,0.000000,0.078046
0.050000,0.000153,0.329093
0.060000,0.132598,2.509726
0.070000,0.230909,3.548368
0.080000,0.303340,4.303349
0.090000,0.361870,4.645663
0.100000,0.411562,4.913630
0.110000,0.449835,5.035863
0.120000,0.484108,5.167185
0.130000,0.513178,5.175274
0.140000,0.539160,5.243175
0.150000,0.561043,5.246122
0.160000,0.580590,5.246663
0.170000,0.597455,5.219960
0.180000,0.612646,5.244398
0.190000,0.626989,5.279664
0.200000,0.639823,5.236740
0.210000,0.650818,5.229053
0.220000,0.661580,5.215097
0.230000,0.671089,5.205762
0.240000,0.679366,5.176595
0.250000,0.687233,5.167145
0.260000,0.694333,5.180905
0.270000,0.701508,5.135260
0.280000,0.707936,5.079240
0.290000,0.713902,5.071659
0.300000,0.719402,5.031047
